전체코드,시군구코드,시군구명,법정동코드,법정동명,폐지구분
1111010100,11110,종로구,10100,청운동,현존
1111010200,11110,종로구,10200,신교동,현존
1111010300,11110,종로구,10300,궁정동,현존
1111010400,11110,종로구,10400,효자동,현존
1111010500,11110,종로구,10500,창성동,현존
1111010600,11110,종로구,10600,통의동,현존
1111010700,11110,종로구,10700,적선동,현존
1111010800,11110,종로구,10800,통인동,현존
1111010900,11110,종로구,10900,누상동,현존
1111011000,11110,종로구,11000,누하동,현존
1111011100,11110,종로구,11100,옥인동,현존
1111011200,11110,종로구,11200,체부동,현존
1111011300,11110,종로구,11300,필운동,현존
1111011400,11110,종로구,11400,내자동,현존
1111011500,11110,종로구,11500,사직동,현존
1111011600,11110,종로구,11600,도렴동,현존
1111011700,11110,종로구,11700,당주동,현존
1111011800,11110,종로구,11800,내수동,현존
1111011900,11110,종로구,11900,세종로,현존
1111012000,11110,종로구,12000,신문로1가,현존
1111012100,11110,종로구,12100,신문로2가,현존
1111012200,11110,종로구,12200,청진동,현존
1111012300,11110,종로구,12300,서린동,현존
1111012400,11110,종로구,12400,수송동,현존
1111012500,11110,종로구,12500,중학동,현존
1111012600,11110,종로구,12600,종로1가,현존
1111012700,11110,종로구,12700,공평동,현존
1111012800,11110,종로구,12800,관훈동,현존
1111012900,11110,종로구,12900,견지동,현존
1111013000,11110,종로구,13000,와룡동,현존
1111013100,11110,종로구,13100,권농동,현존
1111013200,11110,종로구,13200,운니동,현존
1111013300,11110,종로구,13300,익선동,현존
1111013400,11110,종로구,13400,경운동,현존
1111013500,11110,종로구,13500,관철동,현존
1111013600,11110,종로구,13600,인사동,현존
1111013700,11110,종로구,13700,낙원동,현존
1111013800,11110,종로구,13800,종로2가,현존
1111013900,11110,종로구,13900,팔판동,현존
1111014000,11110,종로구,14000,삼청동,현존
1111014100,11110,종로구,14100,안국동,현존
1111014200,11110,종로구,14200,소격동,현존
1111014300,11110,종로구,14300,화동,현존
1111014400,11110,종로구,14400,사간동,현존
1111014500,11110,종로구,14500,송현동,현존
1111014600,11110,종로구,14600,가회동,현존
1111014700,11110,종로구,14700,재동,현존
1111014800,11110,종로구,14800,계동,현존
1111014900,11110,종로구,14900,원서동,현존
1111015000,11110,종로구,15000,훈정동,현존
1111015100,11110,종로구,15100,묘동,현존
1111015200,11110,종로구,15200,봉익동,현존
1111015300,11110,종로구,15300,돈의동,현존
1111015400,11110,종로구,15400,장사동,현존
1111015500,11110,종로구,15500,관수동,현존
1111015600,11110,종로구,15600,종로3가,현존
1111015700,11110,종로구,15700,인의동,현존
1111015800,11110,종로구,15800,예지동,현존
1111015900,11110,종로구,15900,원남동,현존
1111016000,11110,종로구,16000,연지동,현존
1111016100,11110,종로구,16100,종로4가,현존
1111016200,11110,종로구,16200,효제동,현존
1111016300,11110,종로구,16300,종로5가,현존
1111016400,11110,종로구,16400,종로6가,현존
1111016500,11110,종로구,16500,이화동,현존
1111016600,11110,종로구,16600,연건동,현존
1111016700,11110,종로구,16700,충신동,현존
1111016800,11110,종로구,16800,동숭동,현존
1111016900,11110,종로구,16900,혜화동,현존
1111017000,11110,종로구,17000,명륜1가,현존
1111017100,11110,종로구,17100,명륜2가,현존
1111017200,11110,종로구,17200,명륜4가,현존
1111017300,11110,종로구,17300,명륜3가,현존
1111017400,11110,종로구,17400,창신동,현존
1111017500,11110,종로구,17500,숭인동,현존
1111017600,11110,종로구,17600,교남동,현존
1111017700,11110,종로구,17700,평동,현존
1111017800,11110,종로구,17800,송월동,현존
1111017900,11110,종로구,17900,홍파동,현존
1111018000,11110,종로구,18000,교북동,현존
1111018100,11110,종로구,18100,행촌동,현존
1111018200,11110,종로구,18200,구기동,현존
1111018300,11110,종로구,18300,평창동,현존
1111018400,11110,종로구,18400,부암동,현존
1111018500,11110,종로구,18500,홍지동,현존
1111018600,11110,종로구,18600,신영동,현존
1111018700,11110,종로구,18700,무악동,현존
1111090100,11110,종로구,90100,창신1동,폐지
1111090200,11110,종로구,90200,창신2동,폐지
1111090300,11110,종로구,90300,창신3동,폐지
1111090400,11110,종로구,90400,숭인1동,폐지
1111090500,11110,종로구,90500,숭인2동,폐지
1114000100,11140,중구,100,동자동,폐지
1114000200,11140,중구,200,도동1가,폐지
1114000300,11140,중구,300,도동2가,폐지
1114000400,11140,중구,400,양동,폐지
1114010100,11140,중구,10100,무교동,현존
1114010200,11140,중구,10200,다동,현존
1114010300,11140,중구,10300,태평로1가,현존
1114010400,11140,중구,10400,을지로1가,현존
1114010500,11140,중구,10500,을지로2가,현존
1114010600,11140,중구,10600,남대문로1가,현존
1114010700,11140,중구,10700,삼각동,현존
1114010800,11140,중구,10800,수하동,현존
1114010900,11140,중구,10900,장교동,현존
1114011000,11140,중구,11000,수표동,현존
1114011100,11140,중구,11100,소공동,현존
1114011200,11140,중구,11200,남창동,현존
1114011300,11140,중구,11300,북창동,현존
1114011400,11140,중구,11400,태평로2가,현존
1114011500,11140,중구,11500,남대문로2가,현존
1114011600,11140,중구,11600,남대문로3가,현존
1114011700,11140,중구,11700,남대문로4가,현존
1114011800,11140,중구,11800,남대문로5가,현존
1114011900,11140,중구,11900,봉래동1가,현존
1114012000,11140,중구,12000,봉래동2가,현존
1114012100,11140,중구,12100,회현동1가,현존
1114012200,11140,중구,12200,회현동2가,현존
1114012300,11140,중구,12300,회현동3가,현존
1114012400,11140,중구,12400,충무로1가,현존
1114012500,11140,중구,12500,충무로2가,현존
1114012600,11140,중구,12600,명동1가,현존
1114012700,11140,중구,12700,명동2가,현존
1114012800,11140,중구,12800,남산동1가,현존
1114012900,11140,중구,12900,남산동2가,현존
1114013000,11140,중구,13000,남산동3가,현존
1114013100,11140,중구,13100,저동1가,현존
1114013200,11140,중구,13200,충무로4가,현존
1114013300,11140,중구,13300,충무로5가,현존
1114013400,11140,중구,13400,인현동2가,현존
1114013500,11140,중구,13500,예관동,현존
1114013600,11140,중구,13600,묵정동,현존
1114013700,11140,중구,13700,필동1가,현존
1114013800,11140,중구,13800,필동2가,현존
1114013900,11140,중구,13900,필동3가,현존
1114014000,11140,중구,14000,남학동,현존
1114014100,11140,중구,14100,주자동,현존
1114014200,11140,중구,14200,예장동,현존
1114014300,11140,중구,14300,장충동1가,현존
1114014400,11140,중구,14400,장충동2가,현존
1114014500,11140,중구,14500,광희동1가,현존
1114014600,11140,중구,14600,광희동2가,현존
