지역코드,날짜,최저기온(°C),0.5m 지중온도(°C),평균 증기압(hPa),가조시간(hr),평균 상대습도(%),파워
1111010100,2022-12-04,-5.2,7.5,1.8,9.7,38.9,146294.6135
1111010100,2022-12-05,-7.0,7.0,2.0,9.7,41.9,175633.827
1111010100,2022-12-06,-3.9,6.6,4.1,9.7,62.8,156084.191
1111010100,2022-12-08,0.1,6.6,4.4,9.7,57.5,177018.842
1111010100,2022-12-09,0.9,6.6,5.1,9.7,60.8,158467.169
1111010100,2022-12-10,-0.6,6.8,3.4,9.6,46.5,141284.266
1111010100,2022-12-11,-1.5,6.5,3.5,9.6,52.5,147993.077
1111010100,2022-12-12,-2.0,6.2,5.3,9.6,73.4,161767.3595
1111010100,2022-12-13,-6.4,6.1,4.5,9.6,70.8,170183.9965
1111010100,2022-12-14,-11.0,6.0,1.6,9.6,50.1,184582.811
1111010100,2022-12-15,-8.5,5.4,3.6,9.6,79.1,184245.9485
1111010100,2022-12-16,-9.6,5.0,2.1,9.6,56.9,176717.523
1111010100,2022-12-17,-9.8,4.8,1.9,9.6,52.0,163212.019
1111010100,2022-12-18,-12.4,4.5,1.4,9.6,47.1,161322.7555
1111010100,2022-12-19,-12.0,4.3,2.0,9.6,55.6,193896.0215
1111010100,2022-12-20,-9.5,4.1,2.7,9.6,55.8,184378.3365
1111010100,2022-12-21,-2.6,4.0,5.0,9.6,82.4,183181.746
1111010100,2022-12-22,-11.3,3.9,2.1,9.6,60.5,196636.178
1111010100,2022-12-23,-13.7,3.7,1.5,9.6,60.5,200745.438
1111010100,2022-12-24,-13.5,3.5,1.8,9.6,54.9,173024.5185
1111010100,2022-12-25,-9.6,3.4,2.7,9.6,66.5,151203.683
1111010100,2022-12-26,-7.9,3.2,3.1,9.6,68.4,180504.9675
1111010100,2022-12-27,-7.3,3.1,3.5,9.6,69.8,168506.2285
1111010100,2022-12-28,-6.0,3.0,2.8,9.6,58.1,155738.5895
1111010100,2022-12-29,-7.8,2.9,2.8,9.6,56.3,161762.5555
1111010100,2022-12-30,-4.4,2.9,3.5,9.6,65.6,164826.798
1111010100,2023-01-01,-4.3,2.8,3.3,9.6,54.5,118075.6065
1111010100,2023-01-02,-7.4,2.7,2.0,9.6,45.9,170289.591
1111010100,2023-01-03,-9.0,2.6,2.0,9.7,49.0,177688.277
1111010100,2023-01-04,-5.7,2.5,2.7,9.7,51.4,174878.1805
1111010100,2023-01-05,-5.6,2.4,3.1,9.7,58.1,173882.1195
