날짜,지역코드,최저기온(°C),0.5m 지중온도(°C),평균 증기압(hPa),가조시간(hr),평균 상대습도(%),파워,lag_1d,lag_7d,휴일여부
2022-12-04,1111010100,-5.2,7.5,1.8,9.7,38.9,146294.6135,,,True
2022-12-05,1111010100,-7.0,7.0,2.0,9.7,41.9,175633.827,146294.6135,,False
2022-12-06,1111010100,-3.9,6.6,4.1,9.7,62.8,156084.191,175633.827,,False
2022-12-07,1111010100,,,,,,,156084.191,,False
2022-12-08,1111010100,0.1,6.6,4.4,9.7,57.5,177018.842,,,False
2022-12-09,1111010100,0.9,6.6,5.1,9.7,60.8,158467.169,177018.842,,False
2022-12-10,1111010100,-0.6,6.8,3.4,9.6,46.5,141284.266,158467.169,,True
2022-12-11,1111010100,-1.5,6.5,3.5,9.6,52.5,147993.077,141284.266,146294.6135,True
2022-12-12,1111010100,-2.0,6.2,5.3,9.6,73.4,161767.3595,147993.077,175633.827,False
2022-12-13,1111010100,-6.4,6.1,4.5,9.6,70.8,170183.9965,161767.3595,156084.191,False
2022-12-14,1111010100,-11.0,6.0,1.6,9.6,50.1,184582.811,170183.9965,,False
2022-12-15,1111010100,-8.5,5.4,3.6,9.6,79.1,184245.9485,184582.811,177018.842,False
2022-12-16,1111010100,-9.6,5.0,2.1,9.6,56.9,176717.523,184245.9485,158467.169,False
2022-12-17,1111010100,-9.8,4.8,1.9,9.6,52.0,163212.019,176717.523,141284.266,True
2022-12-18,1111010100,-12.4,4.5,1.4,9.6,47.1,161322.7555,163212.019,147993.077,True
2022-12-19,1111010100,-12.0,4.3,2.0,9.6,55.6,193896.0215,161322.7555,161767.3595,False
2022-12-20,1111010100,-9.5,4.1,2.7,9.6,55.8,184378.3365,193896.0215,170183.9965,False
2022-12-21,1111010100,-2.6,4.0,5.0,9.6,82.4,183181.746,184378.3365,184582.811,False
2022-12-22,1111010100,-11.3,3.9,2.1,9.6,60.5,196636.178,183181.746,184245.9485,False
2022-12-23,1111010100,-13.7,3.7,1.5,9.6,60.5,200745.438,196636.178,176717.523,False
2022-12-24,1111010100,-13.5,3.5,1.8,9.6,54.9,173024.5185,200745.438,163212.019,True
2022-12-25,1111010100,-9.6,3.4,2.7,9.6,66.5,151203.683,173024.5185,161322.7555,True
2022-12-26,1111010100,-7.9,3.2,3.1,9.6,68.4,180504.9675,151203.683,193896.0215,False
2022-12-27,1111010100,-7.3,3.1,3.5,9.6,69.8,168506.2285,180504.9675,184378.3365,False
