법정동코드,법정동명,폐지구분,시군구코드,법정동_세부코드,법정동명_세부,시군구명
1100000000,서울특별시,현존,11000,00000,서울특별시,서울특별시
1111000000,서울특별시 종로구,현존,11110,00000,종로구,서울특별시
1111010100,서울특별시 종로구 청운동,현존,11110,10100,청운동,서울특별시 종로구
1111010200,서울특별시 종로구 신교동,현존,11110,10200,신교동,서울특별시 종로구
1111010300,서울특별시 종로구 궁정동,현존,11110,10300,궁정동,서울특별시 종로구
1111010400,서울특별시 종로구 효자동,현존,11110,10400,효자동,서울특별시 종로구
1111010500,서울특별시 종로구 창성동,현존,11110,10500,창성동,서울특별시 종로구
1111010600,서울특별시 종로구 통의동,현존,11110,10600,통의동,서울특별시 종로구
1111010700,서울특별시 종로구 적선동,현존,11110,10700,적선동,서울특별시 종로구
1111010800,서울특별시 종로구 통인동,현존,11110,10800,통인동,서울특별시 종로구
1111010900,서울특별시 종로구 누상동,현존,11110,10900,누상동,서울특별시 종로구
1111011000,서울특별시 종로구 누하동,현존,11110,11000,누하동,서울특별시 종로구
1111011100,서울특별시 종로구 옥인동,현존,11110,11100,옥인동,서울특별시 종로구
1111011200,서울특별시 종로구 체부동,현존,11110,11200,체부동,서울특별시 종로구
1111011300,서울특별시 종로구 필운동,현존,11110,11300,필운동,서울특별시 종로구
1111011400,서울특별시 종로구 내자동,현존,11110,11400,내자동,서울특별시 종로구
1111011500,서울특별시 종로구 사직동,현존,11110,11500,사직동,서울특별시 종로구
1111011600,서울특별시 종로구 도렴동,현존,11110,11600,도렴동,서울특별시 종로구
1111011700,서울특별시 종로구 당주동,현존,11110,11700,당주동,서울특별시 종로구
1111011800,서울특별시 종로구 내수동,현존,11110,11800,내수동,서울특별시 종로구
1111011900,서울특별시 종로구 세종로,현존,11110,11900,세종로,서울특별시 종로구
1111012000,서울특별시 종로구 신문로1가,현존,11110,12000,신문로1가,서울특별시 종로구
1111012100,서울특별시 종로구 신문로2가,현존,11110,12100,신문로2가,서울특별시 종로구
1111012200,서울특별시 종로구 청진동,현존,11110,12200,청진동,서울특별시 종로구
1111012300,서울특별시 종로구 서린동,현존,11110,12300,서린동,서울특별시 종로구
1111012400,서울특별시 종로구 수송동,현존,11110,12400,수송동,서울특별시 종로구
1111012500,서울특별시 종로구 중학동,현존,11110,12500,중학동,서울특별시 종로구
1111012600,서울특별시 종로구 종로1가,현존,11110,12600,종로1가,서울특별시 종로구
1111012700,서울특별시 종로구 공평동,현존,11110,12700,공평동,서울특별시 종로구
1111012800,서울특별시 종로구 관훈동,현존,11110,12800,관훈동,서울특별시 종로구
1111012900,서울특별시 종로구 견지동,현존,11110,12900,견지동,서울특별시 종로구
1111013000,서울특별시 종로구 와룡동,현존,11110,13000,와룡동,서울특별시 종로구
1111013100,서울특별시 종로구 권농동,현존,11110,13100,권농동,서울특별시 종로구
1111013200,서울특별시 종로구 운니동,현존,11110,13200,운니동,서울특별시 종로구
1111013300,서울특별시 종로구 익선동,현존,11110,13300,익선동,서울특별시 종로구
1111013400,서울특별시 종로구 경운동,현존,11110,13400,경운동,서울특별시 종로구
1111013500,서울특별시 종로구 관철동,현존,11110,13500,관철동,서울특별시 종로구
1111013600,서울특별시 종로구 인사동,현존,11110,13600,인사동,서울특별시 종로구
1111013700,서울특별시 종로구 낙원동,현존,11110,13700,낙원동,서울특별시 종로구
1111013800,서울특별시 종로구 종로2가,현존,11110,13800,종로2가,서울특별시 종로구
1111013900,서울특별시 종로구 팔판동,현존,11110,13900,팔판동,서울특별시 종로구
1111014000,서울특별시 종로구 삼청동,현존,11110,14000,삼청동,서울특별시 종로구
1111014100,서울특별시 종로구 안국동,현존,11110,14100,안국동,서울특별시 종로구
1111014200,서울특별시 종로구 소격동,현존,11110,14200,소격동,서울특별시 종로구
1111014300,서울특별시 종로구 화동,현존,11110,14300,화동,서울특별시 종로구
1111014400,서울특별시 종로구 사간동,현존,11110,14400,사간동,서울특별시 종로구
1111014500,서울특별시 종로구 송현동,현존,11110,14500,송현동,서울특별시 종로구
1111014600,서울특별시 종로구 가회동,현존,11110,14600,가회동,서울특별시 종로구
1111014700,서울특별시 종로구 재동,현존,11110,14700,재동,서울특별시 종로구
1111014800,서울특별시 종로구 계동,현존,11110,14800,계동,서울특별시 종로구
1111014900,서울특별시 종로구 원서동,현존,11110,14900,원서동,서울특별시 종로구
1111015000,서울특별시 종로구 훈정동,현존,11110,15000,훈정동,서울특별시 종로구
1111015100,서울특별시 종로구 묘동,현존,11110,15100,묘동,서울특별시 종로구
1111015200,서울특별시 종로구 봉익동,현존,11110,15200,봉익동,서울특별시 종로구
1111015300,서울특별시 종로구 돈의동,현존,11110,15300,돈의동,서울특별시 종로구
1111015400,서울특별시 종로구 장사동,현존,11110,15400,장사동,서울특별시 종로구
1111015500,서울특별시 종로구 관수동,현존,11110,15500,관수동,서울특별시 종로구
1111015600,서울특별시 종로구 종로3가,현존,11110,15600,종로3가,서울특별시 종로구
1111015700,서울특별시 종로구 인의동,현존,11110,15700,인의동,서울특별시 종로구
1111015800,서울특별시 종로구 예지동,현존,11110,15800,예지동,서울특별시 종로구
1111015900,서울특별시 종로구 원남동,현존,11110,15900,원남동,서울특별시 종로구
1111016000,서울특별시 종로구 연지동,현존,11110,16000,연지동,서울특별시 종로구
1111016100,서울특별시 종로구 종로4가,현존,11110,16100,종로4가,서울특별시 종로구
1111016200,서울특별시 종로구 효제동,현존,11110,16200,효제동,서울특별시 종로구
